domain,mAUC,mAP,macro_f1,micro_f1
RFMiD_v2,0.9102,0.0000,0.5143,0.8267
RFMiD_v1,0.8441,0.0000,0.5659,0.6488
ODIR,0.6148,0.0000,0.2872,0.3365
